# snapshot_date=2026-08-24
# Scratch ingest universe: B3 IBOV/SMLL equities plus listed futures from instruments.example.csv.
# Same membership as INGEST_UNIVERSE=scratch (IBOV/SMLL LAST filter; futures listed for coverage).
# B3 IBOV/SMLL: one-time snapshot of B3 theoretical portfolio (carteira do dia 24/08/2026).
# Cite B3 theoretical-portfolio methodology; this is not a live index membership feed.
# Futures: hand-authored listed tickers copied from the example seed (WIN/IND/WDO/DOL plus several DI1 maturities).
# Duplicate tickers across baskets are collapsed to one instrument row (ibov over smll).
# US equities, funds, Tesouro, credito, and every DI expiry are out of this file.
instrument_id,asset_class,ticker,isin,cnpj_fundo_classe,title_type,maturity_date,exchange,currency,preferred_provider,universe
,equity,ALOS3,,,,,B3,BRL,b3,ibov
,equity,ABEV3,,,,,B3,BRL,b3,ibov
,equity,ASAI3,,,,,B3,BRL,b3,ibov
,equity,AURE3,,,,,B3,BRL,b3,ibov
,equity,AXIA3,,,,,B3,BRL,b3,ibov
,equity,AZZA3,,,,,B3,BRL,b3,ibov
,equity,B3SA3,,,,,B3,BRL,b3,ibov
,equity,BBSE3,,,,,B3,BRL,b3,ibov
,equity,BBDC3,,,,,B3,BRL,b3,ibov
,equity,BBDC4,,,,,B3,BRL,b3,ibov
,equity,BRAP4,,,,,B3,BRL,b3,ibov
,equity,BBAS3,,,,,B3,BRL,b3,ibov
,equity,BRKM5,,,,,B3,BRL,b3,ibov
,equity,BRAV3,,,,,B3,BRL,b3,ibov
,equity,BPAC11,,,,,B3,BRL,b3,ibov
,equity,CXSE3,,,,,B3,BRL,b3,ibov
,equity,CEAB3,,,,,B3,BRL,b3,ibov
,equity,CMIG4,,,,,B3,BRL,b3,ibov
,equity,COGN3,,,,,B3,BRL,b3,ibov
,equity,CSMG3,,,,,B3,BRL,b3,ibov
,equity,CPLE3,,,,,B3,BRL,b3,ibov
,equity,CSAN3,,,,,B3,BRL,b3,ibov
,equity,CPFE3,,,,,B3,BRL,b3,ibov
,equity,CMIN3,,,,,B3,BRL,b3,ibov
,equity,CURY3,,,,,B3,BRL,b3,ibov
,equity,CYRE3,,,,,B3,BRL,b3,ibov
,equity,DIRR3,,,,,B3,BRL,b3,ibov
,equity,EMBJ3,,,,,B3,BRL,b3,ibov
,equity,ENGI11,,,,,B3,BRL,b3,ibov
,equity,ENEV3,,,,,B3,BRL,b3,ibov
,equity,EGIE3,,,,,B3,BRL,b3,ibov
,equity,EQTL3,,,,,B3,BRL,b3,ibov
,equity,FLRY3,,,,,B3,BRL,b3,ibov
,equity,GGBR4,,,,,B3,BRL,b3,ibov
,equity,GOAU4,,,,,B3,BRL,b3,ibov
,equity,HAPV3,,,,,B3,BRL,b3,ibov
,equity,HYPE3,,,,,B3,BRL,b3,ibov
,equity,IGTI11,,,,,B3,BRL,b3,ibov
,equity,ISAE4,,,,,B3,BRL,b3,ibov
,equity,ITSA4,,,,,B3,BRL,b3,ibov
,equity,ITUB4,,,,,B3,BRL,b3,ibov
,equity,KLBN11,,,,,B3,BRL,b3,ibov
,equity,RENT3,,,,,B3,BRL,b3,ibov
,equity,LREN3,,,,,B3,BRL,b3,ibov
,equity,MGLU3,,,,,B3,BRL,b3,ibov
,equity,POMO4,,,,,B3,BRL,b3,ibov
,equity,MBRF3,,,,,B3,BRL,b3,ibov
,equity,BEEF3,,,,,B3,BRL,b3,ibov
,equity,MOTV3,,,,,B3,BRL,b3,ibov
,equity,MRVE3,,,,,B3,BRL,b3,ibov
,equity,MULT3,,,,,B3,BRL,b3,ibov
,equity,NATU3,,,,,B3,BRL,b3,ibov
,equity,PETR3,,,,,B3,BRL,b3,ibov
,equity,PETR4,,,,,B3,BRL,b3,ibov
,equity,RECV3,,,,,B3,BRL,b3,ibov
,equity,PSSA3,,,,,B3,BRL,b3,ibov
,equity,PRIO3,,,,,B3,BRL,b3,ibov
,equity,RADL3,,,,,B3,BRL,b3,ibov
,equity,RDOR3,,,,,B3,BRL,b3,ibov
,equity,RAIL3,,,,,B3,BRL,b3,ibov
,equity,SBSP3,,,,,B3,BRL,b3,ibov
,equity,SANB11,,,,,B3,BRL,b3,ibov
,equity,CSNA3,,,,,B3,BRL,b3,ibov
,equity,SLCE3,,,,,B3,BRL,b3,ibov
,equity,SMFT3,,,,,B3,BRL,b3,ibov
,equity,SUZB3,,,,,B3,BRL,b3,ibov
,equity,TAEE11,,,,,B3,BRL,b3,ibov
,equity,VIVT3,,,,,B3,BRL,b3,ibov
,equity,TIMS3,,,,,B3,BRL,b3,ibov
,equity,TOTS3,,,,,B3,BRL,b3,ibov
,equity,UGPA3,,,,,B3,BRL,b3,ibov
,equity,USIM5,,,,,B3,BRL,b3,ibov
,equity,VALE3,,,,,B3,BRL,b3,ibov
,equity,VAMO3,,,,,B3,BRL,b3,ibov
,equity,VBBR3,,,,,B3,BRL,b3,ibov
,equity,VIVA3,,,,,B3,BRL,b3,ibov
,equity,WEGE3,,,,,B3,BRL,b3,ibov
,equity,YDUQ3,,,,,B3,BRL,b3,ibov
,equity,TTEN3,,,,,B3,BRL,b3,smll
,equity,ABCB4,,,,,B3,BRL,b3,smll
,equity,ALPA4,,,,,B3,BRL,b3,smll
,equity,ALUP11,,,,,B3,BRL,b3,smll
,equity,ANIM3,,,,,B3,BRL,b3,smll
,equity,ARML3,,,,,B3,BRL,b3,smll
,equity,BRSR6,,,,,B3,BRL,b3,smll
,equity,BMOB3,,,,,B3,BRL,b3,smll
,equity,BLAU3,,,,,B3,BRL,b3,smll
,equity,SOJA3,,,,,B3,BRL,b3,smll
,equity,BRBI11,,,,,B3,BRL,b3,smll
,equity,SAUD3,,,,,B3,BRL,b3,smll
,equity,CAML3,,,,,B3,BRL,b3,smll
,equity,CBAV3,,,,,B3,BRL,b3,smll
,equity,CVCB3,,,,,B3,BRL,b3,smll
,equity,DASA3,,,,,B3,BRL,b3,smll
,equity,DESK3,,,,,B3,BRL,b3,smll
,equity,DXCO3,,,,,B3,BRL,b3,smll
,equity,PNVL3,,,,,B3,BRL,b3,smll
,equity,ECOR3,,,,,B3,BRL,b3,smll
,equity,EVEN3,,,,,B3,BRL,b3,smll
,equity,EZTC3,,,,,B3,BRL,b3,smll
,equity,FESA4,,,,,B3,BRL,b3,smll
,equity,FRAS3,,,,,B3,BRL,b3,smll
,equity,GFSA3,,,,,B3,BRL,b3,smll
,equity,GGPS3,,,,,B3,BRL,b3,smll
,equity,GRND3,,,,,B3,BRL,b3,smll
,equity,GMAT3,,,,,B3,BRL,b3,smll
,equity,SBFG3,,,,,B3,BRL,b3,smll
