# Scratch-universe issuer CNPJs for CVM Fatos Relevantes filtering.
# Digits-only CNPJ. Tickers without a row are skipped (empty is OK).
ticker,cnpj,name
PETR4,33000167000101,PETROLEO BRASILEIRO S.A. PETROBRAS
PETR3,33000167000101,PETROLEO BRASILEIRO S.A. PETROBRAS
VALE3,33592510000154,VALE S.A.
ITUB4,60872504000123,ITAU UNIBANCO HOLDING S.A.
ITUB3,60872504000123,ITAU UNIBANCO HOLDING S.A.
BBDC4,60746948000112,BANCO BRADESCO S.A.
BBDC3,60746948000112,BANCO BRADESCO S.A.
BBAS3,00000000000191,BANCO DO BRASIL S.A.
ABEV3,07526557000100,AMBEV S.A.
WEGE3,84429695000111,WEG S.A.
B3SA3,09346601000125,B3 S.A. - BRASIL BOLSA BALCAO
SUZB3,16404287000155,SUZANO S.A.
ELET3,00019464000193,CENTRAIS ELETRICAS BRASILEIRAS S.A.
ELET6,00019464000193,CENTRAIS ELETRICAS BRASILEIRAS S.A.
RENT3,16670085000155,LOCALIZA RENT A CAR S.A.
PRIO3,10629165000177,PRIO S.A.
ITSA4,61532644000115,ITAUSA S.A.
BPAC11,30306294000145,BANCO BTG PACTUAL S.A.
SANB11,90400888000142,BANCO SANTANDER (BRASIL) S.A.
BBSE3,17727673000192,BB SEGURIDADE PARTICIPACOES S.A.
EQTL3,03220438000173,EQUATORIAL ENERGIA S.A.
RAIL3,02387347000100,RUMO S.A.
VIVT3,02558157000162,TELEFONICA BRASIL S.A.
SBSP3,43776517000180,CIA SANEAMENTO BASICO ESTADO SAO PAULO
CMIG4,17155730000164,CIA ENERGETICA DE MINAS GERAIS CEMIG
GGBR4,33611500000119,GERDAU S.A.
CSNA3,33042294000128,CIA SIDERURGICA NACIONAL
USIM5,60894473000199,USINAS SIDERURGICAS DE MINAS GERAIS S.A.
EMBR3,07689002000189,EMBRAER S.A.
HAPV3,63403990000104,HAPVIDA PARTICIPACOES E INVESTIMENTOS S.A.
RDOR3,16614175000100,REDE D OR SAO LUIZ S.A.
TOTS3,53113791000122,TOTVS S.A.
LREN3,92690783000173,LOJAS RENNER S.A.
MGLU3,47960950000121,MAGAZINE LUIZA S.A.
NATU3,71673990000177,NATURA COSMETICOS S.A.
